champion_id,champion_name,overall_games,overall_wins,overall_win_rate,classification,classification_reason,peak_bin,peak_win_rate,gap_pp,-20m_games,-20m_wins,-20m_win_rate,-20m_low_95,-20m_high_95,20-25m_games,20-25m_wins,20-25m_win_rate,20-25m_low_95,20-25m_high_95,25-30m_games,25-30m_wins,25-30m_win_rate,25-30m_low_95,25-30m_high_95,30-35m_games,30-35m_wins,30-35m_win_rate,30-35m_low_95,30-35m_high_95,35m-_games,35m-_wins,35m-_win_rate,35m-_low_95,35m-_high_95
83,ヨリック,617,319,0.5170178282009724,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,25〜30分,0.5915492957746479,17.549090161406394,108,60,0.5555555555555556,0.4615344791712406,0.6457601231949631,90,45,0.5,0.398835445409866,0.601164554590134,142,84,0.5915492957746479,0.5093238227154346,0.668951785890066,140,73,0.5214285714285715,0.43921772462830105,0.6024948258438851,137,57,0.41605839416058393,0.3369105392811653,0.49978543690768806
45,ベイガー,610,325,0.5327868852459017,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,30〜35分,0.5972222222222222,27.623456790123456,81,26,0.32098765432098764,0.22942074394347287,0.42876580605086945,92,50,0.5434782608695652,0.4419960344126341,0.6414750261706617,143,80,0.5594405594405595,0.47757133478487557,0.6381996728859753,144,86,0.5972222222222222,0.5155952900234319,0.6737965996747316,150,83,0.5533333333333333,0.47342972849954784,0.6305733499915755
54,マルファイト,582,271,0.46563573883161513,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,35分〜,0.5032679738562091,10.326797385620912,91,44,0.4835164835164835,0.3836068307058106,0.5847614802463456,75,30,0.4,0.296623430781706,0.5131216783992341,132,60,0.45454545454545453,0.37208592805700386,0.5395758898249997,131,60,0.4580152671755725,0.37510645160595435,0.5433163496660566,153,77,0.5032679738562091,0.42493756068608224,0.5814382987797737
145,カイ＝サ,554,256,0.4620938628158845,序盤寄り,〜20分が最高、長時間帯との差 8.1%,〜20分,0.5697674418604651,8.139534883720934,86,49,0.5697674418604651,0.46436012573217667,0.6692082880093415,83,33,0.39759036144578314,0.2990876632240069,0.5051536220586227,134,56,0.417910447761194,0.33782807660784847,0.502568436491245,122,55,0.45081967213114754,0.3653714064697258,0.5392706196965023,129,63,0.4883720930232558,0.4037032622727371,0.5737134505642055
56,ノクターン,554,291,0.5252707581227437,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,〜20分,0.5925925925925926,10.308210308210302,81,48,0.5925925925925926,0.4837611469314997,0.6930389134162542,68,34,0.5,0.38437863888099083,0.6156213611190091,131,68,0.5190839694656488,0.43420551822120274,0.6028750266551558,143,70,0.48951048951048953,0.40892962253687976,0.5706401996388527,131,71,0.5419847328244275,0.4566836503339434,0.6248935483940457
122,ダリウス,532,269,0.5056390977443609,中盤寄り,中間帯が最高、端点との差 9.0%,30〜35分,0.5692307692307692,8.963893249607535,98,47,0.47959183673469385,0.3833296392957258,0.5773936800551093,65,32,0.49230769230769234,0.3746363604246928,0.6108375390779336,113,56,0.49557522123893805,0.40506171133355484,0.5863796930977435,130,74,0.5692307692307692,0.483326884526903,0.651160449754815,126,60,0.47619047619047616,0.39098550347951744,0.5628043450744129
25,モルガナ,527,281,0.5332068311195446,序盤寄り,〜20分が最高、長時間帯との差 9.4%,〜20分,0.6075949367088608,9.40814231953473,79,48,0.6075949367088608,0.49733788520285227,0.707873023326196,53,28,0.5283018867924528,0.39659852300756443,0.6561797239101858,156,85,0.5448717948717948,0.46658441888114965,0.6210022919625856,128,63,0.4921875,0.4070759798715471,0.5777543013143609,111,57,0.5135135135135135,0.421645284109601,0.6044776539198238
517,サイラス,525,241,0.45904761904761904,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,25〜30分,0.4888888888888889,7.7673935617860845,83,39,0.46987951807228917,0.36623168109196985,0.5761922263440978,78,38,0.48717948717948717,0.37948764475056745,0.5960749053462049,135,66,0.4888888888888889,0.40604637402013033,0.5723462691070017,122,54,0.4426229508196721,0.3575736806790091,0.5311753498482569,107,44,0.411214953271028,0.3226357894349217,0.5059484244342394
81,エズリアル,519,251,0.4836223506743738,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,35分〜,0.5263157894736842,7.348560079443889,92,45,0.4891304347826087,0.3894853752162455,0.5896468596379305,79,36,0.45569620253164556,0.35048276758066016,0.5650186230250259,109,52,0.47706422018348627,0.38568352703346587,0.5700065730714601,106,48,0.4528301886792453,0.3613756390040924,0.5475841722149721,133,70,0.5263157894736842,0.4419143733850908,0.6092396616451923
800,メル,518,241,0.46525096525096526,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,25〜30分,0.5,6.69291338582677,89,42,0.47191011235955055,0.37151847587556575,0.5746263557516359,71,32,0.4507042253521127,0.34047773339151494,0.5659913960765885,100,50,0.5,0.40382982859014716,0.5961701714098528,127,55,0.4330708661417323,0.35010943520734455,0.5199624685296932,131,62,0.4732824427480916,0.38976625692005357,0.5583209802530442
