scope,observed_tier,patch,role,champion_id,champion_name,games,wins,losses,win_rate,pick_count,pick_rate,pick_rate_denominator,avg_kda,avg_cs_per_min,avg_gold_per_min,avg_damage_share,avg_vision_score,first_blood_rate,first_tower_rate,ban_count,ban_match_count,ban_rate,min_games_applied
overall,MIXED,16.17,ALL,777,Yone,178,81,97,0.4550561797752809,178,0.03531746031746032,5040,2.474078402870538,6.725441644365977,400.53483375795224,0.2554725426791709,21.589887640449437,0.12921348314606743,0.19101123595505617,161,147,0.2916666666666667,15
overall,MIXED,16.15,ALL,777,Yone,133,57,76,0.42857142857142855,133,0.03220338983050847,4130,2.5244946782540767,6.459470204306886,398.702194573102,0.2672890115544302,24.030075187969924,0.18796992481203006,0.15037593984962405,76,74,0.1791767554479419,15
overall,MIXED,16.17,ALL,145,Kaisa,121,62,59,0.512396694214876,121,0.02400793650793651,5040,4.220307768448263,7.031016115143803,466.5359483926972,0.2243523304572995,16.28099173553719,0.18181818181818182,0.09917355371900827,66,65,0.12896825396825398,15
overall,MIXED,16.17,ALL,21,MissFortune,119,61,58,0.5126050420168067,119,0.02361111111111111,5040,4.756906095771643,6.54540697811716,460.48692000527353,0.2362347546425999,17.11764705882353,0.16806722689075632,0.12605042016806722,45,45,0.08928571428571429,15
overall,MIXED,16.17,BOTTOM,145,Kaisa,119,60,59,0.5042016806722689,119,0.11805555555555555,1008,4.2415810846483115,7.07850710370378,468.21132517188306,0.22572151142610622,15.789915966386555,0.17647058823529413,0.10084033613445378,66,65,0.12896825396825398,15
overall,MIXED,16.17,BOTTOM,21,MissFortune,118,60,58,0.5084745762711864,118,0.11706349206349206,1008,4.768405299973097,6.596076768767172,461.8955762195076,0.23691836101311373,16.8135593220339,0.1694915254237288,0.1271186440677966,45,45,0.08928571428571429,15
overall,MIXED,16.17,ALL,82,Mordekaiser,114,58,56,0.5087719298245614,114,0.02261904761904762,5040,3.22833893689157,5.997801959814967,383.0873552658412,0.25276671637240367,20.42105263157895,0.07894736842105263,0.19298245614035087,68,65,0.12896825396825398,15
overall,MIXED,16.14,ALL,777,Yone,107,56,51,0.5233644859813084,107,0.03074712643678161,3480,2.7811540225091624,6.27180583401127,393.8612732132013,0.2457665053156812,19.8411214953271,0.1308411214953271,0.17757009345794392,58,56,0.16091954022988506,15
overall,MIXED,16.17,ALL,147,Seraphine,107,55,52,0.514018691588785,107,0.02123015873015873,5040,4.133136152528675,1.4698703336707868,297.1762717294959,0.13903348912829774,63.76635514018692,0.07476635514018691,0.028037383177570093,138,127,0.251984126984127,15
overall,MIXED,16.17,ALL,111,Nautilus,106,51,55,0.4811320754716981,106,0.021031746031746033,5040,3.5516012782383477,0.9845985993520027,285.97384376169674,0.098719089600664,63.4811320754717,0.04716981132075472,0.009433962264150943,127,120,0.23809523809523808,15
overall,MIXED,16.17,UTILITY,111,Nautilus,104,50,54,0.4807692307692308,104,0.10317460317460317,1008,3.583271266189818,0.881814933064594,284.76750391044555,0.09932770832694096,64.375,0.04807692307692308,0.009615384615384616,127,120,0.23809523809523808,15
overall,MIXED,16.17,MIDDLE,777,Yone,104,46,58,0.4423076923076923,104,0.10317460317460317,1008,2.660809222828452,6.856539681498365,403.5932264825465,0.2560670150860144,20.009615384615383,0.1346153846153846,0.17307692307692307,161,147,0.2916666666666667,15
overall,MIXED,16.15,ALL,21,MissFortune,102,49,53,0.4803921568627451,102,0.024697336561743343,4130,3.4758499126146187,6.419548956633691,429.71207153319966,0.2242013425347792,15.46078431372549,0.09803921568627451,0.0784313725490196,44,41,0.09927360774818401,15
overall,MIXED,16.13,ALL,147,Seraphine,101,55,46,0.5445544554455446,101,0.030699088145896655,3290,4.307427528467134,2.185004935133721,308.5606062862822,0.1452219774933405,50.960396039603964,0.0594059405940594,0.0297029702970297,104,96,0.2917933130699088,15
overall,MIXED,16.15,BOTTOM,21,MissFortune,101,48,53,0.4752475247524752,101,0.12227602905569007,826,3.492112453003542,6.448719137830681,430.71179744839606,0.22554499095841865,15.366336633663366,0.09900990099009901,0.07920792079207921,44,41,0.09927360774818401,15
overall,MIXED,16.14,ALL,21,MissFortune,99,53,46,0.5353535353535354,99,0.028448275862068967,3480,3.8306881950821343,6.331268286452811,452.332687990217,0.22624374510635226,17.585858585858585,0.10101010101010101,0.04040404040404041,42,38,0.10919540229885058,15
overall,MIXED,16.17,TOP,82,Mordekaiser,99,51,48,0.5151515151515151,99,0.09821428571428571,1008,3.029951137526897,5.883797280058595,377.43005076892655,0.2570301158036139,19.86868686868687,0.09090909090909091,0.2222222222222222,68,65,0.12896825396825398,15
overall,MIXED,16.17,UTILITY,147,Seraphine,99,51,48,0.5151515151515151,99,0.09821428571428571,1008,4.143670162609555,1.152780278355285,289.96226521138146,0.13181383988513162,67.63636363636364,0.08080808080808081,0.030303030303030304,138,127,0.251984126984127,15
overall,MIXED,16.14,BOTTOM,21,MissFortune,97,52,45,0.5360824742268041,97,0.13936781609195403,696,3.8607023846714568,6.415024251164836,455.0930520027466,0.22637543597701834,15.989690721649485,0.10309278350515463,0.041237113402061855,42,38,0.10919540229885058,15
overall,MIXED,16.17,ALL,89,Leona,94,54,40,0.574468085106383,94,0.01865079365079365,5040,4.4576093233008125,0.9240546110334912,290.13558826563985,0.1005849884790825,71.61702127659575,0.07446808510638298,0.010638297872340425,119,115,0.22817460317460317,15
overall,MIXED,16.17,UTILITY,89,Leona,94,54,40,0.574468085106383,94,0.09325396825396826,1008,4.4576093233008125,0.9240546110334912,290.13558826563985,0.1005849884790825,71.61702127659575,0.07446808510638298,0.010638297872340425,119,115,0.22817460317460317,15
overall,MIXED,16.13,ALL,27,Singed,93,47,46,0.5053763440860215,93,0.028267477203647418,3290,2.202104874940188,8.074751657776762,411.42218160147735,0.25640432311609246,14.688172043010752,0.10752688172043011,0.13978494623655913,5,4,0.0121580547112462,15
overall,MIXED,16.13,TOP,27,Singed,89,46,43,0.5168539325842697,89,0.135258358662614,658,2.2018249442258893,8.279121133856409,415.65468989664464,0.25947654230329953,14.337078651685394,0.11235955056179775,0.14606741573033707,5,4,0.0121580547112462,15
