scope,observed_tier,patch,role,spell_id,spell_name,games,wins,losses,win_rate,pick_rate,pick_rate_denominator,min_games_applied
overall,MIXED,16.11,JUNGLE,4,フラッシュ,222,111,111,0.5,0.940677966101695,236,15
overall,MIXED,15.8,ALL,12,テレポート,222,107,115,0.481981981981982,0.3415384615384615,650,15
overall,MIXED,16.3,ALL,14,イグナイト,220,111,109,0.5045454545454545,0.25,880,15
overall,MIXED,16.10,MIDDLE,4,フラッシュ,218,110,108,0.5045871559633027,0.9819819819819819,222,15
overall,MIXED,16.10,JUNGLE,4,フラッシュ,217,108,109,0.4976958525345622,0.9774774774774775,222,15
overall,MIXED,16.7,ALL,12,テレポート,216,112,104,0.5185185185185185,0.2805194805194805,770,15
overall,MIXED,15.24,UTILITY,14,イグナイト,215,99,116,0.4604651162790698,0.6286549707602339,342,15
overall,MIXED,16.10,UTILITY,4,フラッシュ,214,107,107,0.5,0.963963963963964,222,15
overall,MIXED,16.10,TOP,4,フラッシュ,213,104,109,0.48826291079812206,0.9594594594594594,222,15
overall,MIXED,16.9,ALL,12,テレポート,208,108,100,0.5192307692307693,0.26329113924050634,790,15
overall,MIXED,16.9,ALL,14,イグナイト,208,98,110,0.47115384615384615,0.26329113924050634,790,15
overall,MIXED,15.23,ALL,12,テレポート,207,102,105,0.4927536231884058,0.3568965517241379,580,15
overall,MIXED,15.19,TOP,4,フラッシュ,206,106,100,0.5145631067961165,0.8995633187772926,229,15
overall,MIXED,15.19,MIDDLE,12,テレポート,204,101,103,0.4950980392156863,0.8869565217391304,230,15
overall,MIXED,15.21,ALL,12,テレポート,204,101,103,0.4950980392156863,0.34576271186440677,590,15
overall,MIXED,16.12,ALL,12,テレポート,202,99,103,0.4900990099009901,0.22696629213483147,890,15
overall,MIXED,14.23,ALL,4,フラッシュ,201,99,102,0.4925373134328358,0.9571428571428572,210,15
overall,MIXED,16.6,ALL,14,イグナイト,200,91,109,0.455,0.2631578947368421,760,15
overall,MIXED,15.19,ALL,14,イグナイト,197,105,92,0.5329949238578681,0.17130434782608694,1150,15
overall,MIXED,15.13,ALL,14,イグナイト,197,101,96,0.5126903553299492,0.20520833333333333,960,15
overall,MIXED,16.13,TOP,6,ゴースト,196,106,90,0.5408163265306123,0.2978723404255319,658,15
overall,MIXED,16.8,ALL,12,テレポート,193,97,96,0.5025906735751295,0.2757142857142857,700,15
overall,MIXED,15.13,ALL,11,スマイト,192,96,96,0.5,0.2,960,15
overall,MIXED,15.13,JUNGLE,11,スマイト,192,96,96,0.5,1.0,192,15
overall,MIXED,16.5,ALL,12,テレポート,192,91,101,0.4739583333333333,0.23703703703703705,810,15
overall,MIXED,16.11,ALL,21,バリア,191,91,100,0.47643979057591623,0.16186440677966102,1180,15
overall,MIXED,15.13,BOTTOM,4,フラッシュ,190,95,95,0.5,0.9895833333333334,192,15
overall,MIXED,16.2,ALL,12,テレポート,190,94,96,0.49473684210526314,0.2676056338028169,710,15
overall,MIXED,16.15,BOTTOM,12,テレポート,189,100,89,0.5291005291005291,0.2288135593220339,826,15
overall,MIXED,15.13,MIDDLE,4,フラッシュ,189,94,95,0.4973544973544973,0.9895287958115183,191,15
overall,MIXED,15.16,ALL,12,テレポート,189,89,100,0.4708994708994709,0.35,540,15
overall,MIXED,15.13,UTILITY,4,フラッシュ,188,95,93,0.5053191489361702,0.9791666666666666,192,15
overall,MIXED,16.18,MIDDLE,12,テレポート,188,92,96,0.48936170212765956,0.5595238095238095,336,15
overall,MIXED,15.19,ALL,21,バリア,188,89,99,0.4734042553191489,0.1634782608695652,1150,15
overall,MIXED,16.17,ALL,3,イグゾースト,187,91,96,0.48663101604278075,0.0371031746031746,5040,15
overall,MIXED,15.19,TOP,12,テレポート,186,89,97,0.478494623655914,0.8122270742358079,229,15
overall,MIXED,16.10,ALL,21,バリア,185,91,94,0.4918918918918919,0.16666666666666666,1110,15
overall,MIXED,16.11,BOTTOM,21,バリア,185,87,98,0.4702702702702703,0.7838983050847458,236,15
overall,MIXED,16.7,ALL,14,イグナイト,184,85,99,0.46195652173913043,0.23896103896103896,770,15
overall,MIXED,16.15,ALL,6,ゴースト,182,86,96,0.4725274725274725,0.04406779661016949,4130,15
overall,MIXED,15.1,ALL,4,フラッシュ,181,92,89,0.5082872928176796,0.9526315789473684,190,15
overall,MIXED,16.10,BOTTOM,21,バリア,181,91,90,0.5027624309392266,0.8153153153153153,222,15
overall,MIXED,15.12,ALL,12,テレポート,180,93,87,0.5166666666666667,0.35294117647058826,510,15
overall,MIXED,16.18,UTILITY,14,イグナイト,180,90,90,0.5,0.5357142857142857,336,15
overall,MIXED,16.6,ALL,12,テレポート,179,99,80,0.553072625698324,0.2355263157894737,760,15
overall,MIXED,16.16,ALL,6,ゴースト,179,88,91,0.49162011173184356,0.053753753753753755,3330,15
overall,MIXED,15.11,ALL,12,テレポート,179,86,93,0.48044692737430167,0.33773584905660375,530,15
overall,MIXED,16.12,ALL,11,スマイト,178,89,89,0.5,0.2,890,15
overall,MIXED,16.12,JUNGLE,11,スマイト,178,89,89,0.5,1.0,178,15
overall,MIXED,15.19,BOTTOM,21,バリア,178,86,92,0.48314606741573035,0.7739130434782608,230,15
overall,MIXED,15.13,JUNGLE,4,フラッシュ,177,92,85,0.519774011299435,0.921875,192,15
overall,MIXED,16.12,BOTTOM,4,フラッシュ,177,89,88,0.5028248587570622,1.0,177,15
overall,MIXED,16.12,MIDDLE,4,フラッシュ,177,89,88,0.5028248587570622,0.9943820224719101,178,15
overall,MIXED,16.3,ALL,11,スマイト,176,88,88,0.5,0.2,880,15
overall,MIXED,16.3,JUNGLE,11,スマイト,176,88,88,0.5,1.0,176,15
overall,MIXED,16.3,BOTTOM,4,フラッシュ,176,88,88,0.5,1.0,176,15
overall,MIXED,16.12,UTILITY,4,フラッシュ,174,87,87,0.5,0.9775280898876404,178,15
overall,MIXED,15.2,ALL,12,テレポート,173,89,84,0.5144508670520231,0.3760869565217391,460,15
overall,MIXED,15.13,TOP,4,フラッシュ,173,86,87,0.49710982658959535,0.9010416666666666,192,15
overall,MIXED,16.3,MIDDLE,4,フラッシュ,172,87,85,0.5058139534883721,0.9772727272727273,176,15
overall,MIXED,16.3,UTILITY,4,フラッシュ,172,86,86,0.5,0.9772727272727273,176,15
overall,MIXED,16.1,ALL,14,イグナイト,171,91,80,0.5321637426900585,0.22207792207792207,770,15
overall,MIXED,16.11,MIDDLE,12,テレポート,171,85,86,0.49707602339181284,0.7245762711864406,236,15
