scope,observed_tier,patch,role,champion_id,champion_name,participants,avg_kda,avg_cs_per_min,avg_gold_per_min,avg_damage_per_min,avg_damage_share,avg_vision_score,avg_wards_placed,avg_wards_killed,min_games_applied
overall,MIXED,16.17,BOTTOM,145,Kaisa,119,4.2415810846483115,7.07850710370378,468.21132517188306,712.3868207103575,0.22572151142610622,15.789915966386555,7.546218487394958,1.8823529411764706,15
overall,MIXED,16.17,BOTTOM,21,MissFortune,118,4.768405299973097,6.596076768767172,461.8955762195076,762.0066350739788,0.23691836101311373,16.8135593220339,7.677966101694915,1.7627118644067796,15
overall,MIXED,16.17,UTILITY,111,Nautilus,104,3.583271266189818,0.881814933064594,284.76750391044555,295.6405952387858,0.09932770832694096,64.375,24.71153846153846,6.134615384615385,15
overall,MIXED,16.17,MIDDLE,777,Yone,104,2.660809222828452,6.856539681498365,403.5932264825465,778.8121980983098,0.2560670150860144,20.009615384615383,8.788461538461538,1.4615384615384615,15
overall,MIXED,16.15,BOTTOM,21,MissFortune,101,3.492112453003542,6.448719137830681,430.71179744839606,645.1773382801492,0.22554499095841865,15.366336633663366,7.2772277227722775,1.5346534653465347,15
overall,MIXED,16.17,TOP,82,Mordekaiser,99,3.029951137526897,5.883797280058595,377.43005076892655,767.2573579726726,0.2570301158036139,19.86868686868687,7.565656565656566,1.0606060606060606,15
overall,MIXED,16.17,UTILITY,147,Seraphine,99,4.143670162609555,1.152780278355285,289.96226521138146,378.820016721072,0.13181383988513162,67.63636363636364,25.818181818181817,5.808080808080808,15
overall,MIXED,16.14,BOTTOM,21,MissFortune,97,3.8607023846714568,6.415024251164836,455.0930520027466,689.2099300605256,0.22637543597701834,15.989690721649485,7.680412371134021,1.577319587628866,15
overall,MIXED,16.17,UTILITY,89,Leona,94,4.4576093233008125,0.9240546110334912,290.13558826563985,307.52094369178775,0.1005849884790825,71.61702127659575,26.382978723404257,7.659574468085107,15
overall,MIXED,16.13,TOP,27,Singed,89,2.2018249442258893,8.279121133856409,415.65468989664464,864.7626344059692,0.25947654230329953,14.337078651685394,6.584269662921348,0.8202247191011236,15
overall,MIXED,16.17,BOTTOM,51,Caitlyn,85,3.4744670688788335,6.853601308962691,433.92618527906956,746.9233417411706,0.224001009058798,17.741176470588236,8.058823529411764,2.1176470588235294,15
overall,MIXED,16.17,BOTTOM,222,Jinx,81,3.819608340904637,6.939006939443317,434.2034233676967,661.4476219137381,0.21394762783603755,16.28395061728395,7.493827160493828,2.049382716049383,15
overall,MIXED,16.17,BOTTOM,804,Yunara,78,3.431524031524032,7.053588998630717,444.4928302270065,702.5259368111799,0.22457418891722256,17.358974358974358,7.782051282051282,2.551282051282051,15
overall,MIXED,16.16,UTILITY,111,Nautilus,77,3.8814157343378115,0.9288663535825425,277.8965425868846,311.15458892785097,0.10217608314788006,71.18181818181819,27.324675324675326,6.701298701298701,15
overall,MIXED,16.13,UTILITY,147,Seraphine,77,4.14313777852739,1.0972718391735174,289.26974638092514,386.57091493027224,0.12950175036174824,62.532467532467535,24.233766233766232,5.792207792207792,15
overall,MIXED,16.16,BOTTOM,145,Kaisa,76,3.3453264936817564,7.072542007240464,442.639409057178,639.0084465614167,0.20387475743639483,16.592105263157894,7.684210526315789,1.986842105263158,15
overall,MIXED,16.17,MIDDLE,103,Ahri,75,3.4009172679172672,6.128698124902686,362.19349528817713,666.0930236234099,0.21572129115163516,22.28,9.466666666666667,1.56,15
overall,MIXED,16.15,MIDDLE,777,Yone,75,2.6994574314574313,6.516140256133925,399.41433359367795,819.1294864424076,0.2535331836101028,22.04,9.44,1.7333333333333334,15
overall,MIXED,16.13,TOP,122,Darius,74,2.7094443844443843,6.464807166379604,398.04094821345734,730.3842967787458,0.23215623514337835,18.04054054054054,7.04054054054054,1.135135135135135,15
overall,MIXED,16.15,UTILITY,111,Nautilus,74,3.4968629343629347,0.8495730158364807,278.5643032523078,302.8793646070947,0.10719886484466898,57.554054054054056,22.12162162162162,5.297297297297297,15
overall,MIXED,16.14,MIDDLE,777,Yone,72,2.7856476471059803,6.09156663123793,391.1377569403159,697.3570615885457,0.2351365639319368,17.805555555555557,7.847222222222222,1.4722222222222223,15
overall,MIXED,16.14,UTILITY,147,Seraphine,71,3.7185295533887084,1.316988359300604,289.0620896837061,378.6741565730489,0.13498675451038825,66.05633802816901,24.943661971830984,6.802816901408451,15
overall,MIXED,16.14,TOP,122,Darius,70,3.725132764061335,6.822192458356746,415.0028740886302,750.6888166269235,0.24244506365120105,20.571428571428573,7.714285714285714,1.2285714285714286,15
overall,MIXED,16.16,UTILITY,147,Seraphine,70,4.09902490366776,1.23944959649151,289.74456581920185,404.1904997212567,0.13348697116262648,74.54285714285714,27.714285714285715,7.1571428571428575,15
overall,MIXED,16.16,BOTTOM,51,Caitlyn,69,3.7422145889537184,7.17081794513296,444.5052979593603,764.6972256577517,0.22474083432728645,17.840579710144926,7.956521739130435,2.3043478260869565,15
overall,MIXED,16.15,TOP,875,Sett,69,1.808915520872043,6.2884263737644,379.7385319815484,823.641315862021,0.2601247310484239,19.782608695652176,7.913043478260869,0.9420289855072463,15
overall,MIXED,16.16,BOTTOM,21,MissFortune,68,4.222877857436681,6.655796169084977,450.71704912917704,662.877055890424,0.21701716401024074,19.220588235294116,8.75,2.176470588235294,15
overall,MIXED,16.15,TOP,82,Mordekaiser,67,3.9781579117400026,5.879327798998739,391.24921678232033,767.4291855205499,0.25048867837368055,19.17910447761194,7.343283582089552,0.8208955223880597,15
overall,MIXED,16.13,UTILITY,111,Nautilus,66,3.553471948926495,0.8377504722497311,278.8201202117536,300.9064916335627,0.0990456041199468,60.06060606060606,23.136363636363637,5.2727272727272725,15
overall,MIXED,16.16,BOTTOM,22,Ashe,65,4.094900185284801,6.694408745408232,423.4784477482869,667.8043200838218,0.20407912513094995,19.646153846153847,7.876923076923077,1.8307692307692307,15
overall,MIXED,16.17,BOTTOM,22,Ashe,65,3.980732131116747,6.330058058660841,413.6011109458792,620.8486743436516,0.202095447548355,15.6,6.369230769230769,1.6615384615384616,15
overall,MIXED,16.13,BOTTOM,21,MissFortune,65,4.385414670799287,6.394227111416886,445.62454697938614,692.3892484283612,0.20658621234645355,18.984615384615385,8.538461538461538,2.3692307692307693,15
overall,MIXED,16.17,TOP,777,Yone,65,2.0856515706515704,6.7109370016610965,394.3298397940081,810.3135296424942,0.26603283628550595,23.753846153846155,8.76923076923077,1.2153846153846153,15
overall,MIXED,16.17,UTILITY,99,Lux,64,4.263137361770176,1.534153182317737,314.1952615364707,668.9449164949668,0.1921216537979415,78.640625,28.71875,8.21875,15
overall,MIXED,16.17,TOP,799,Ambessa,63,2.2757976591309923,5.740193858331697,340.55530203428026,601.6781010612158,0.2069525026823453,23.396825396825395,8.412698412698413,0.9365079365079365,15
overall,MIXED,16.14,BOTTOM,22,Ashe,63,3.2621703322204576,6.175009541915809,407.10452954941775,621.3909180093465,0.2074757529092736,18.793650793650794,7.142857142857143,2.0317460317460316,15
overall,MIXED,16.13,BOTTOM,51,Caitlyn,62,2.9494177417564513,6.812037820361628,404.7211804288198,647.6201486712005,0.19720985866789892,17.032258064516128,7.612903225806452,2.129032258064516,15
overall,MIXED,16.15,UTILITY,147,Seraphine,61,3.466533603009014,1.1973468476259694,286.86574700394874,376.9370758286954,0.12817776356387497,66.19672131147541,24.901639344262296,6.114754098360656,15
overall,MIXED,16.13,BOTTOM,22,Ashe,60,3.2413293650793653,6.243290477295143,392.2345741241059,623.08348212556,0.20466630014544132,18.683333333333334,7.533333333333333,1.7833333333333334,15
overall,MIXED,16.15,BOTTOM,145,Kaisa,60,3.8986238298738294,6.997973187716387,450.3741359352467,682.5014939805592,0.20282841060158646,16.183333333333334,7.416666666666667,1.7,15
overall,MIXED,16.15,UTILITY,89,Leona,60,3.8957813945313946,0.9622266326600166,289.94631291181054,303.3959118697857,0.0980256821743172,65.5,24.216666666666665,6.4,15
overall,MIXED,16.14,UTILITY,111,Nautilus,60,3.512811679061679,0.8472520280163665,286.60749732309785,288.9171093453853,0.10204480350135643,60.78333333333333,23.633333333333333,5.116666666666666,15
overall,MIXED,16.15,BOTTOM,51,Caitlyn,59,3.2932808716707016,6.85667451380925,421.2141044910838,732.8341680012758,0.22321841775219367,17.949152542372882,8.11864406779661,2.0847457627118646,15
overall,MIXED,16.14,TOP,82,Mordekaiser,58,2.0355811714204215,5.284818508181571,360.4563637441497,586.8104402503784,0.19790040624891267,20.551724137931036,7.741379310344827,0.9827586206896551,15
overall,MIXED,16.14,UTILITY,89,Leona,57,3.9326858813700922,0.8378878393550746,289.7296526778344,267.6650174950585,0.08981387108959878,66.6842105263158,25.05263157894737,6.842105263157895,15
overall,MIXED,16.14,TOP,27,Singed,57,3.4042169818485606,8.379831712824446,421.96958438343677,762.5908329018664,0.23849265915951764,19.350877192982455,8.543859649122806,0.5614035087719298,15
overall,MIXED,16.14,MIDDLE,103,Ahri,56,2.674064625850341,5.939520934785371,350.89177602458125,623.8852284886785,0.2032938494869414,24.321428571428573,10.392857142857142,1.5178571428571428,15
overall,MIXED,16.14,UTILITY,99,Lux,56,4.016308096665239,1.5101239766494263,319.20391888503417,632.2595963614191,0.2086609116485171,61.982142857142854,24.267857142857142,5.875,15
overall,MIXED,16.17,JUNGLE,62,MonkeyKing,56,3.704145408163266,5.995972858024442,392.1629031500638,486.62643379689445,0.1484846899333417,26.982142857142858,7.267857142857143,3.5357142857142856,15
overall,MIXED,16.16,TOP,82,Mordekaiser,56,2.9132070310641742,5.826533577835357,374.1876477149326,784.6307248776583,0.26481613386884134,21.964285714285715,8.75,1.1071428571428572,15
overall,MIXED,16.13,JUNGLE,56,Nocturne,56,3.5160572562358277,5.723353123566909,379.3354777250215,437.73334149391883,0.13191526951048588,24.607142857142858,6.321428571428571,2.875,15
