scope,observed_tier,patch,role,rune_kind,rune_id,rune_name,games,wins,losses,win_rate,pick_rate,pick_rate_denominator,min_games_applied
overall,MIXED,16.13,BOTTOM,shard,5005,UNKNOWN(5005),384,180,204,0.46875,0.5835866261398176,658,15
overall,MIXED,16.17,ALL,rune,8234,追い風,383,208,175,0.5430809399477807,0.07599206349206349,5040,15
overall,MIXED,15.18,ALL,shard,5005,UNKNOWN(5005),381,196,185,0.5144356955380578,0.5861538461538461,650,15
overall,MIXED,16.16,TOP,rune,8299,背水の陣,381,176,205,0.46194225721784776,0.5720720720720721,666,15
overall,MIXED,16.18,ALL,rune,8226,マナフローバンド,381,166,215,0.4356955380577428,0.22678571428571428,1680,15
overall,MIXED,16.17,TOP,rune,8473,ボーンアーマー,380,193,187,0.5078947368421053,0.376984126984127,1008,15
overall,MIXED,16.16,BOTTOM,rune,8009,冷静沈着,380,193,187,0.5078947368421053,0.5705705705705706,666,15
overall,MIXED,16.13,ALL,rune,8017,切り崩し,380,189,191,0.49736842105263157,0.11550151975683891,3290,15
overall,MIXED,16.2,ALL,shard,5005,UNKNOWN(5005),380,187,193,0.4921052631578947,0.5352112676056338,710,15
overall,MIXED,16.17,UTILITY,rune,8210,至高,378,191,187,0.5052910052910053,0.375,1008,15
overall,MIXED,16.17,BOTTOM,rune,8321,キャッシュバック,378,190,188,0.5026455026455027,0.375,1008,15
overall,MIXED,16.13,ALL,rune,8242,気迫,378,180,198,0.47619047619047616,0.1148936170212766,3290,15
overall,MIXED,16.14,JUNGLE,rune,9104,レジェンド: 迅速,377,188,189,0.4986737400530504,0.5416666666666666,696,15
overall,MIXED,14.19,ALL,shard,5001,UNKNOWN(5001),376,187,189,0.4973404255319149,0.8952380952380953,420,15
overall,MIXED,15.9,ALL,shard,5008,UNKNOWN(5008),376,185,191,0.4920212765957447,0.8744186046511628,430,15
overall,MIXED,16.17,JUNGLE,rune,8347,宇宙の英知,376,178,198,0.4734042553191489,0.373015873015873,1008,15
overall,MIXED,16.10,ALL,rune,9111,凱旋,374,176,198,0.47058823529411764,0.33693693693693694,1110,15
overall,MIXED,16.17,ALL,keystone,8439,アフターショック,373,180,193,0.48257372654155495,0.07400793650793651,5040,15
overall,MIXED,16.16,JUNGLE,rune,9104,レジェンド: 迅速,372,199,173,0.5349462365591398,0.5585585585585585,666,15
overall,MIXED,16.17,ALL,rune,8453,生気付与,372,198,174,0.532258064516129,0.07380952380952381,5040,15
overall,MIXED,16.16,ALL,rune,8143,サドンインパクト,371,196,175,0.5283018867924528,0.1114114114114114,3330,15
overall,MIXED,16.14,ALL,keystone,8229,秘儀の彗星,371,192,179,0.5175202156334232,0.10660919540229885,3480,15
overall,MIXED,16.6,ALL,shard,5005,UNKNOWN(5005),371,181,190,0.48787061994609165,0.4881578947368421,760,15
overall,MIXED,15.22,ALL,shard,5005,UNKNOWN(5005),371,179,192,0.48247978436657685,0.5621212121212121,660,15
overall,MIXED,16.17,UTILITY,rune,8242,気迫,370,173,197,0.46756756756756757,0.36706349206349204,1008,15
overall,MIXED,16.18,ALL,rune,8299,背水の陣,369,199,170,0.5392953929539296,0.21964285714285714,1680,15
overall,MIXED,16.17,ALL,rune,8463,生命の泉,369,196,173,0.5311653116531165,0.07321428571428572,5040,15
overall,MIXED,16.17,UTILITY,rune,8345,ビスケットデリバリー,369,193,176,0.5230352303523035,0.36607142857142855,1008,15
overall,MIXED,16.17,BOTTOM,rune,8345,ビスケットデリバリー,368,174,194,0.47282608695652173,0.36507936507936506,1008,15
overall,MIXED,16.13,TOP,rune,9111,凱旋,367,183,184,0.4986376021798365,0.5577507598784195,658,15
overall,MIXED,16.8,ALL,shard,5005,UNKNOWN(5005),367,181,186,0.49318801089918257,0.5242857142857142,700,15
overall,MIXED,16.11,ALL,rune,9111,凱旋,366,184,182,0.5027322404371585,0.3101694915254237,1180,15
overall,MIXED,16.14,ALL,rune,8234,追い風,365,208,157,0.5698630136986301,0.10488505747126436,3480,15
overall,MIXED,14.19,ALL,shard,5008,UNKNOWN(5008),365,183,182,0.5013698630136987,0.8690476190476191,420,15
overall,MIXED,15.24,ALL,rune,8299,背水の陣,363,196,167,0.5399449035812672,0.21228070175438596,1710,15
overall,MIXED,15.19,ALL,rune,9111,凱旋,363,183,180,0.5041322314049587,0.31565217391304345,1150,15
overall,MIXED,16.13,TOP,shard,5005,UNKNOWN(5005),362,183,179,0.505524861878453,0.5501519756838906,658,15
overall,MIXED,16.15,ALL,rune,8135,貪欲な賞金首狩り,360,172,188,0.4777777777777778,0.08716707021791767,4130,15
overall,MIXED,16.17,TOP,rune,8451,超成長,359,181,178,0.5041782729805014,0.35615079365079366,1008,15
overall,MIXED,15.8,ALL,shard,5005,UNKNOWN(5005),359,179,180,0.4986072423398329,0.5523076923076923,650,15
overall,MIXED,16.15,ALL,rune,8321,キャッシュバック,359,166,193,0.4623955431754875,0.08692493946731235,4130,15
overall,MIXED,15.9,ALL,shard,5001,UNKNOWN(5001),358,177,181,0.49441340782122906,0.8325581395348837,430,15
overall,MIXED,15.15,ALL,shard,5008,UNKNOWN(5008),358,176,182,0.49162011173184356,0.8731707317073171,410,15
overall,MIXED,16.16,TOP,shard,5005,UNKNOWN(5005),357,175,182,0.49019607843137253,0.536036036036036,666,15
overall,MIXED,16.15,ALL,rune,9103,レジェンド: 血脈,356,166,190,0.46629213483146065,0.08619854721549637,4130,15
overall,MIXED,15.24,ALL,keystone,8010,征服者,355,181,174,0.5098591549295775,0.20760233918128654,1710,15
overall,MIXED,16.18,ALL,rune,8347,宇宙の英知,355,174,181,0.49014084507042255,0.2113095238095238,1680,15
